Date : 2025-10-06 20:01:07
Directory : i:\Dext
Total : 131 files,  111213 codes, 1404 comments, 11742 blanks, all 124359 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          1 |     82,632 |          0 |      8,868 |     91,500 |
| Dart                    |         66 |     24,837 |      1,084 |      2,245 |     28,166 |
| C++                     |         16 |        638 |        135 |        191 |        964 |
| JavaScript              |          2 |        555 |         36 |         73 |        664 |
| CMake                   |          8 |        536 |          0 |         94 |        630 |
| YAML                    |          5 |        502 |         59 |         89 |        650 |
| XML                     |         10 |        487 |         55 |         14 |        556 |
| JSON                    |          4 |        248 |          0 |          4 |        252 |
| HTML                    |          2 |        222 |         15 |         20 |        257 |
| Markdown                |          2 |        214 |          0 |         67 |        281 |
| Kotlin                  |          4 |        100 |          6 |         17 |        123 |
| Swift                   |          6 |         93 |          7 |         21 |        121 |
| Ruby                    |          2 |         66 |          3 |         22 |         91 |
| Gradle                  |          1 |         65 |          4 |         12 |         81 |
| Properties              |          2 |         18 |          0 |          5 |         23 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        131 |    111,213 |      1,404 |     11,742 |    124,359 |
| . (Files)                                                             |          5 |        307 |         35 |         83 |        425 |
| .github                                                               |          1 |        406 |         24 |         71 |        501 |
| .github\workflows                                                     |          1 |        406 |         24 |         71 |        501 |
| android                                                               |         14 |        266 |         63 |         45 |        374 |
| android (Files)                                                       |          3 |        103 |          5 |         16 |        124 |
| android\app                                                           |         10 |        158 |         58 |         28 |        244 |
| android\app (Files)                                                   |          2 |         65 |          4 |         13 |         82 |
| android\app\src                                                       |          8 |         93 |         54 |         15 |        162 |
| android\app\src\debug                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                  |          6 |         87 |         46 |         13 |        146 |
| android\app\src\main (Files)                                          |          1 |         51 |         13 |          3 |         67 |
| android\app\src\main\kotlin                                           |          1 |         10 |          1 |          4 |         15 |
| android\app\src\main\kotlin\com                                       |          1 |         10 |          1 |          4 |         15 |
| android\app\src\main\kotlin\com\wucode                                |          1 |         10 |          1 |          4 |         15 |
| android\app\src\main\kotlin\com\wucode\Dext                           |          1 |         10 |          1 |          4 |         15 |
| android\app\src\main\res                                              |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                               |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                |          1 |          5 |          0 |          1 |          6 |
| ios                                                                   |          9 |        262 |          6 |         24 |        292 |
| ios (Files)                                                           |          1 |         33 |          2 |         11 |         46 |
| ios\Runner                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                    |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                       |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                   |         66 |     24,837 |      1,084 |      2,245 |     28,166 |
| lib (Files)                                                           |          2 |        702 |         58 |         72 |        832 |
| lib\components                                                        |          6 |      1,216 |         44 |         89 |      1,349 |
| lib\controllers                                                       |          1 |         92 |         18 |         20 |        130 |
| lib\models                                                            |          9 |        855 |         23 |         91 |        969 |
| lib\pages                                                             |         19 |     14,697 |        475 |        985 |     16,157 |
